,No,City,Place,Review,Rating,Name,Date,Raw_Review,Raw_Rating
3900,3901,Fatehpur Sikri,Diwan-I-Khas,good place visiting agra place visit emperor akbar carried court proceedings ministers known navratnas,4,Anonymous,,"It is a very good place to see. If you are visiting Agra, it is a must place to visit. From here, Emperor Akbar carried out court proceedings along with his nine ministers known as Navratnas.",bas
3901,3902,Fatehpur Sikri,Caravan Sarai,located outside main place building rear unsafe deserted skipped,3,Anonymous,,It is located outside of the main place building on the rear side. Seems unsafe and deserted and can be skipped.,dex
3902,3903,Fatehpur Sikri,Dargah of Hzrt Saleem Chisti,guide took interesting shrine mosque grand tour fatehpur sikri worth finding story saint commemorated,5,Anonymous,,Our guide took us around this interesting shrine within the mosque as part of our grand tour of Fatehpur Sikri. It is worth finding out the story behind the saint who is commemorated here.,gol
3903,3904,Fatehpur Sikri,Fatehpur Sikri,right time visit fatehpur sikri c heat decided visit old heritage built emperor akbar km drive agra surprisingly vehicle allowed entrance tobe parked km away,4,Anonymous,,"Though this is not right time to visit Fatehpur Sikri during 45°C heat, but we decided to visit this old heritage built by Emperor Akbar.  Just 40km drive from Agra. Surprisingly vehicle was not allowed to the entrance but have tobe parked around 1km away,...",bas
3904,3905,Fatehpur Sikri,Hiran Minar,hard believe tower build honor favorite elephant view afar hike bit strenuous,4,Anonymous,,It's hard to believe that this tower was build to honor a favorite elephant ! I would just view this from afar as the hike down to see it is a bit strenuous.,bas
3905,3906,Fatehpur Sikri,Hathi Pol,hathi pol kept adorned beautiful stone elephants gate hathi pol official gateway royal complex trunks heads elephants,4,Anonymous,,"The name Hathi Pol was kept as it was once adorned with two beautiful stone 3.7m elephants, one on the either side of the gate. Hathi Pol was the official gateway to the royal complex. The trunks and heads of these elephants have now been...",bas
3906,3907,Fatehpur Sikri,Jodhabai Palace,visit palace rani jodhabai appreciate cultural religious respect times rani celebrate hindu festivals royal celebrations devote time understand richness history,5,Anonymous,,"When you visit this palace of Rani Jodhabai, you appreciate the cultural and religious respect during those times . Rani could celebrate all Hindu Festivals and was always part of all Royal Celebrations . You have to devote time to understand the richness of History...",gol
3907,3908,Fatehpur Sikri,Khwabgah,emperors private sleeping chamber really lovely complex overlooking pools outside emperor bed huge apparently ingenious ventilation shaft built inside cool fabulous say place,5,Anonymous,,This was the emperors private sleeping chamber and is a really lovely part of the complex overlooking the pools outside.  The emperor's bed was huge and apparently has an ingenious ventilation shaft built inside to keep him cool - fabulous to say the place is...,gol
3908,3909,Fatehpur Sikri,Lotus Throne,throne room built emperor akbar beautiful carving red sandstone stunning room support loke spokes wheel high head miss,5,Anonymous,,This throne room built for Emperor Akbar is beautiful. The carving in the red sandstone is stunning and the room support are loke spokes on a wheel high above your head. Do not miss,gol
3909,3910,Fatehpur Sikri,Lower Haramsara,nice building admire fantasize certain use harem second class concubines kept proof opening khwabgah akbar apartments,5,Anonymous,,"A nice building to admire and to fantasize about as no one is certain about its use: was it part of a harem where second class concubines were kept, the proof of it being its opening towards the Khwabgah, Akbar's apartments? Or were they the...",gol
3910,3911,Fatehpur Sikri,Maryamuzzamani Palace,like buildings fatehpur sikri complex maryam palace perfect example mixture hindu islamic architecture consider visit good,5,Anonymous,,"Like many other buildings in Fatehpur Sikri complex, Maryam's palace is also a perfect example of mixture of Hindu and Islamic architecture. I would not consider it as a must visit but it is very good.",gol
3911,3912,Fatehpur Sikri,Panch Mahal - Fatehpur Sikri,built sole purpose viewing platform royal ladies observer goings courtyard pride place told guide story structure big thing day,4,Anonymous,,"Built for the sole purpose, as a viewing platform, for the Royal ladies so they could observer the goings on within the courtyard (pride of place), as told by our guide. A five story structure would have been a big thing back in the day.",bas
3912,3913,Fatehpur Sikri,Tomb of Sheikh Salim Chisti,say kids local guides say ask shall save lot money rest intelligence,4,Anonymous,,"Please say ""NO"" to whatever the Kids and Local guides say/ask and you shall save a lot of money! Rest is your intelligence.",bas
3913,3914,Fatehpur Sikri,Samosa Mahal,expensive rupees hassle touts aggressive traders bus use building impressive hassles make miss,3,Anonymous,,"Too expensive to get in (610 rupees), hassle of many touts and aggressive traders, the bus which you have to use to get there.  The building is impressive, but the hassles make this one to miss.",dex
3914,3915,Fatehpur Sikri,Tansen Baradari,place legendary singer tansen used stay doors maintained skipped,3,Anonymous,,The place where legendary singer Tansen used to stay and have twelve doors. It is not well maintained and can be skipped.,dex
3915,3916,Fatehpur Sikri,Todarmal Baradari,todarmal revenue minister used stay told place maintained worth visiting,3,Anonymous,,"Please where Todarmal, the revenue minister used to stay. Though we were told the place is not maintained at all and not worth visiting.",dex
3916,3917,Fatehpur Sikri,The Fort Wall,impressive structure walk event special fantastic historical sites region let,5,Anonymous,,"While impressive as a structure, it's a walk-by event rather than anything special.  There are so many fantastic historical sites in the region but this is a let down.",gol
3917,3918,Fatehpur,Le Prince Haveli Cultural Centre,havelli architectural work art undergoing continual restoration state efforts owners student help europe visited entry inr camera video fees guided intern,4,Anonymous,,"The havelli is a architectural work of art that is undergoing continual restoration to its former state through the efforts of its owners and student help from Europe. We visited (entry INR 200 each, no camera or video fees) and were guided by an intern...",bas
3918,3919,Fatehpur,Dwarkadheesh Temple,dwarkadheesh temple fatehpur old beautiful temple painting wall attractive nice temple,5,Anonymous,,Dwarkadheesh Temple at fatehpur was very old and beautiful temple. Painting on wall was very attractive. Nice temple.,gol
3919,3920,Fatorpa,Shree Shantadurga Kunkalikarin Temple,th visit temple everytime visit south goa time visit surrounded green hills temple really beautiful,4,Anonymous,,"This might be my 5th visit to the temple. Everytime I visit south goa, i take out time to visit. surrounded by the green hills , temple is really beautiful",bas
3920,3921,Fatorpa,Shree Shantadurga Fatarfekarin Temple,near shantadurga kukalyekarin temple temple small beautiful,4,Anonymous,,This is very near to Shantadurga Kukalyekarin temple. The temple is small though than the former but no less beautiful,bas
3921,3922,Ferozpur Jhirka,Hari-Ke-Pattan Bird Sanctuary,visit place feb members bathinda cycling gruop started journy cycles bathinda early morning reach harike pm km distance enjoy moment trip,4,Anonymous,,"i Visit this place in Feb with my 15 members of Bathinda Cycling Gruop.  we started Our Journy on Our Cycles from Bathinda early Morning at Reach At harike  around 4pm. its almost 135 Km distance and we enjoy every moment of this trip.  

One...",bas
3922,3923,Ferozpur Jhirka,Gandhi Garden,maintained garden cantonment area ferizepur place huge offers lighting fountains evening good,4,Anonymous,,This is a very well maintained garden in cantonment area of ferizepur cant.This place is huge and offers lighting fountains in evening which is very good.,bas
3923,3924,Firozabad,Marsalganj Jain Temple,firozabad known place glass industry india destinations visit marsalganj jain temple peaceful place heart city place special place jain religion,4,Anonymous,,"Firozabad, a well known place for glass industry in India. Only few destinations are there to visit. Marsalganj Jain temple is one of them. A very peaceful place in the heart of the city. This place has very special place in Jain & other religion...",bas
3924,3925,Firozabad,Decent Lites,experience decent lites fantastic good range stock fact good person good quality vast variety low prices,5,Anonymous,,"My experience with Decent Lites is fantastic. They are not only good by their range of stock in fact  they are very good as a person also. 
Very good quality, vast variety and low prices.",gol
3925,3926,Ferozpur Jhirka,Shitala Mata Mandir,mandir situated cantonment area ferozepur near ghumar mandi beautiful managed famous temple ferozepur,4,Anonymous,,This Mandir is situated in cantonment area of ferozepur near ghumar mandi and is a beautiful and we managed .It is a very famous temple in ferozepur,bas
3926,3927,Firozabad,Vaishnu Devi Mandir,nice place family pious temple maintained gufa great feeling blessed visiting,5,Anonymous,,"Nice Place for family,  pious temple well maintained, Gufa is great,  feeling blessed after visiting...",gol
3927,3928,Firozpur,National Martyrs Memorial,great place indian visit lifetime acknowledge sacrifice martyrs rd mar neat clean place atmosphere quiet,5,Anonymous,,Great place !. Every Indian must visit at least once in a lifetime to acknowledge the sacrifice by the Martyrs on 23rd Mar 1931. Very neat and clean place. The atmosphere was very quiet.,gol
3928,3929,Firozpur,Harike Lake,harike lake beautiful place visit family good place day picnic trip bird lover place perfect,5,Anonymous,,Harike Lake was beautiful place for visit with family. Good place for one day picnic and trip. If you are bird lover then this place was perfect.,gol
3929,3930,Gadag,Trikuteshwara Temple,architecture beautiful small place joyful visit shiva linga inside garbha gudi thats trikuteshewara,5,Anonymous,,The architecture is beautiful. Though its a small place its joyful to visit. You can find 3 shiva linga here inside one garbha gudi. Thats why the name trikuteshewara.,gol
3930,3931,Gadag,Binkadakatti Zoo,beautiful place lot animals play ground kids toilet water facility great picnic spot charges parking car entry fee camera fee,5,Anonymous,,"Beautiful place, lot of animals, play ground for kids, toilet and water facility. A great picnic spot.

Charges 
Parking Car ₹20/-
Entry Fee ₹30/-
Camera Fee ₹10/-",gol
3931,3932,Gadag,Basaveshwara Statue,fortunate statue sunset yesterday lake appeared little dried statue looking majestic road near boating like away couples wanting,4,Anonymous,,We were fortunate to see this statue during sunset yesterday. While the lake appeared little dried up the statue was looking very majestic from the road. We didn't go near but we could see boating was on. Seems like a get away for couples wanting...,bas
3932,3933,Gadwal,Jogulamba Temple,lucky time devi darshanam unfortunately visit shiva mandir thought visit devi mandir come time came shiva mandir closed temple closes,3,Anonymous,,I was lucky enough to be just in time for devi darshanam. but unfortunately i couldn't visit shiva mandir as i thought i visit devi mandir first and then come here. By the time i came to shiva mandir it was closed. Temple closes at...,dex
3933,3934,Gadag,Brahma Jinalaya,architectural marvel surviving amazing work asi forgotten abandoned temple century good luck abdul asi employee available guide knowledge detailed,5,Anonymous,,"An architectural marvel surviving only due to amazing work being done by ASI. It's a forgotten and abandoned temple from 11the century. It was our good luck that Abdul a former ASI employee was available to guide us around, his knowledge was so detailed. It's...",gol
3934,3935,Gadag,Dambala Temple,temple km away gadag way mundgod lot buses ply gadag mundgod western chalukya temple unique structure compared temples carvings small elephant pair different postures wall,3,Anonymous,,This temple is 20km away from Gadag on the way to Mundgod.Lot of buses ply between Gadag and Mundgod.This western chalukya temple is unique in structure when compared with other temples.We can find the carvings of small elephant pair in different postures on the wall...,dex
3935,3936,Gadag,Rameshwara Temple,rameshwara temple smaller temple tirkuteshwara complex contains linga sure think temple used substitute worship rameshwaram,4,Anonymous,,"The Rameshwara temple is a smaller temple in the back side of Tirkuteshwara complex. It contains a Linga. Though I am not sure, I think that this temple is used as a substitute worship for those who cannot go to Rameshwaram (one of the 4...",bas
3936,3937,Gadag,Saraswathi Temple,trikuteshwar complex saraswati temple ancient temple built kalyani chalukyas come saraswati temples journeys india quite thrilled saraswati temples complex old,4,Anonymous,,"Part of the Trikuteshwar complex, the Saraswati temple is an ancient temple built during Kalyani Chalukyas. I have not come across many Saraswati temples in many journeys across India and  so quite thrilled. There are 2 Saraswati temples in the complex - an old one...",bas
3937,3938,Gadag,Veer Narayana Temple,veer narayana temple vishnu temple lesser number shaivite temples region entrance temple tiered gopuram gopuram fine carvings gods goddesses celestial creatures,4,Anonymous,,"The Veer Narayana temple is a Vishnu temple, which are lesser in number as against Shaivite temples in this region. The entrance to temple is through a 5 tiered gopuram. The gopuram itself has some very fine and carvings with gods, goddesses and celestial creatures....",bas
3938,3939,Gadag,Veeranarayana Temple,veer narayana temple vishnu temple lesser number shaivite temples region entrance temple tiered gopuram gopuram fine carvings gods goddesses celestial creatures,4,Anonymous,,"The Veer Narayana temple is a Vishnu temple, which are lesser in number as against Shaivite temples in this region. The entrance to temple is through a 5 tiered gopuram. The gopuram itself has some very fine and carvings with gods, goddesses and celestial creatures....",bas
3939,3940,Gajner,Deshnook Temple,believe place world rat healthy human world famous deshnok mandhir close bikaner maintained temple ample space cleanliness rest depends ur believing visit,4,Anonymous,,"I believe this is the only place in the world where rat is more healthy then human.... This is world famous deshnok mandhir, very close to Bikaner..... A very well maintained temple... Ample of space and cleanliness.... Rest it depends upon ur believing...... Must visit...",bas
3940,3941,Gajner,Gajner Lake,location away hustle bustle city century old trees paradise bird watchers great walks real fun,5,Anonymous,,"What a location away from the hustle bustle of the city. Century old trees, paradise for bird watchers and great walks. real fun.",gol
3941,3942,Gadwal,Jurala Dam,dam indira priya darshini jurala dam river krishna dam level location best picnic spot adventurous aged group people,5,Anonymous,,The Dam is Indira priya darshini Jurala Dam across river krishna. The dam was with all most up to full level.Location is a best picnic spot and is adventurous to all aged group people.,gol
3942,3943,Gajner,Devi Kund Sagar,recommend time visitor consider spending days bikaner places like cenotaphs usually going day whirl add dimension related maharaja history beautifully good,5,Anonymous,,I recommend a first-time visitor consider spending two days in Bikaner.  Places like the cenotaphs are not usually going to be on a one-day whirl - but they add dimension to everything related to the Maharaja's history.  These are beautifully made and it's good on...,gol
3943,3944,Gajner,Gajner Wildlife Sanctuary,good destination common wildlife jewel nature traveling road bikaner jaisalmer approx km bikaner jaisalmer,4,Anonymous,,Very good destination with some common wildlife. It is jewel in nature. If you are traveling by road from Bikaner to Jaisalmer than it would be approx 55 km from Bikaner towards Jaisalmer.,bas
3944,3945,Gandhidham,Om Cineplex,multiplexes gandhidham services offerred poor comparison ticket charges seats comfortable worst management able enforce mobiles policy people talk way loud thats,2,Anonymous,,"One of 3 multiplexes in and around gandhidham. Services offerred are poor in comparison to ticket charges. Seats are not very comfortable. Worst part is that somehow management has not been able to enforce the mobiles off policy.
People talk way too loud but thats...",fuk
3945,3946,Ganagapur,Sri Kshetra Ganagapur,attractions main temple bheema amaraja sangam kalleshwar ashta teertha place stay trimurty datta home residency contact guide priest dattatraya p pujari,4,Anonymous,,"Attractions: Main temple, Bheema Amaraja sangam, kalleshwar and ashta teertha.
Place to stay,: Trimurty Datta Home Residency, contact 9980532880
Guide/priest: Dattatraya P Pujari",bas
3946,3947,Gandhinagar,Aalloa Hills Resort & Golf Course,aalloa hills terrible place honestly speaking worth money ping pong table really year old dining table paddles equipped rubber tire car pool table old,3,Anonymous,,"Aalloa Hills was a terrible place. Honestly speaking, it's not worth the money. The ping pong table was really a 30 year old dining table with four paddles that were equipped with rubber from a tire of a car. The pool table was very old...",dex
3947,3948,Galajwari,Santaldevi Mandir,climbing hill finally enter temple premises worship people tie knot thread tree make wish goddess santala devi,4,Anonymous,,"after climbing the hill, you finally get to enter the temple premises for worship. People tie knot of thread on the tree to make wish to the Goddess Santala Devi.",bas
3948,3949,Gandhinagar,Adalaj Trimandir,beautiful architecture highway location best things make temple attractive temple children park antivirus area want accommodate hygienic food prideful area feel relax easy approach bus,5,Anonymous,,"Very beautiful architecture, on highway location. The best things who make this temple more attractive are temple with children park and antivirus area. Anyone who want to accommodate, can get Hygienic food. A prideful area where you can feel relax yourself. Easy approach of bus...",gol
3949,3950,Gandhidham,Gurunanak Super Market,famous market shopping gandhidham city majority stuffs exists buy home household items,3,Anonymous,,Very famous market for shopping in Gandhidham city. Majority stuffs exists to buy for your Home and other household items too.,dex
3950,3951,Gandhidham,Shri Chandra Prabh Labdhi Dham Teerth,beautiful old jain temple devotees facilities food lunch dinner visited friends,5,Anonymous,,This is beautiful and old Jain temple. For devotees there was facilities for food in lunch and dinner. Visited with friends.,gol
3951,3952,Gandhinagar,Agora Mall,wow word use mall wonderd ahmedabad city superb feel abroad thanks planner given info city visited mall,5,Anonymous,,"Wow it's the word I can use for this mall. I was very wonderd about Ahmedabad . The city is superb, you will get a feel of abroad. Thanks to my planner who given me every info about city. We have visited this mall last...",gol
3952,3953,Gandhinagar,City Pulse,city plus gandhinagar city attarct teenagers time pass theatre book store things enjoyed watching movies sound good really great place enjoy friends,5,Anonymous,,City Plus is in Gandhinagar city attarct teenagers for their time pass. This is not only theatre but also have book store and many other things. We have enjoyed watching movies here. Sound system was too good. Really a great place for enjoy with friends.,gol
3953,3954,Gandhinagar,Dandi Kutir,went sunday convention center gave pamphlet place unluckily tickets sold till slot hours away skipped roamed premises excellant choice,3,Anonymous,,"We went there on a Sunday from the convention center as someone gave us a pamphlet of the place.
Unluckily the tickets were sold out till the next slot which was 2-3 hours away so we skipped that and roamed the premises. Excellant choice. We...",dex
3954,3955,Gandhinagar,Capital Complex,loved place visited nice sunny day group friends situated close amenities come,5,Anonymous,,We loved this place when visited on a nice sunny day with a group of friends. It is situated very close to all the amenities. Will come back!,gol
3955,3956,Gandhinagar,Indroda Nature Park,good park specific section dedicated dinosaurs kind guess india fossils dinosaur eggs bones size replicas dinosaurs inculdes bonsai garden mini zoo,5,Anonymous,,"It is a good park with specific section dedicated to dinosaurs, one of its kind and i guess the only one in India. Has fossils of dinosaur eggs and bones with full size replicas of several dinosaurs.
Also inculdes bonsai garden and a mini zoo...",gol
3956,3957,Gandhinagar,Fun World,best place seen place like children young old age persons,5,Anonymous,,"one of the best place i ever seen, This place for everyone like children, young and old age persons.",gol
3957,3958,Gandhinagar,Puneet Van,gandhinagar spare time morning evening self inner self punitvan big wilderness park garden family need quality time children loves,4,Anonymous,,"If you are in Gandhinagar, spare some time in the morning or in the evening for your self. You are with your inner-self when ever you are at Punitvan. Big, wilderness park and garden all a family need for a quality time. Children loves to...",bas
3958,3959,Gandhinagar,R World Complex,nice place watch movies hang friends rates cheap food joints nice,5,Anonymous,,nice place to watch movies and hang out with friends. rates are cheap too. food joints are also nice.,gol
3959,3960,Gandhinagar,Sarita Udhyan,located gandginagar near indroda park nice place morning evening stroll sit relax spend time nature gardens greenery good n maintained,5,Anonymous,,"Located in gandginagar, near indroda park this is nice place to take your morning or evening stroll. You can sit relax or spend some time nature here. The gardens and greenery around is good n well maintained",gol
3960,3961,Gandhinagar,Mini Pawagadh,mini pavagadh famous replica pavagadh temple garden beautiful good place day picnic,5,Anonymous,,Mini pavagadh was very famous and here replica of pavagadh temple. Garden was also beautiful. Good place for one day picnic.,gol
3961,3962,Gandhinagar,Swaminarayan Akshardham,temple large constructed main sanctum dominated golden statue person wearing turban hindu temple hindu gods rama krishna shiva hanuman relegated,3,Anonymous,,"The temple is not very large although its well constructed. 
The main sanctum is dominated by a golden statue of a person wearing a turban. Even though its a Hindu temple but the Hindu Gods Rama, Krishna , Shiva and Hanuman have been relegated to...",dex
3962,3963,Gandhinagar,Shree Neelkanth Mahadev Mandir,temple located banks sabar mati river surroundings peaceful green temple bot big,4,Anonymous,,This temple is located on the banks of sabar mati river. The surroundings are peaceful and green. The temple is bot very big though,bas
3963,3964,Gandhinagar,Sant Sarovar Dam,sant sarovar dam water conservation place sabarmati river gandhinagar road dam site passing indroda village gandhinagar dam open general public dam site prohibited area dam view beautiful,4,Anonymous,,"Sant Sarovar Dam is a water conservation place which is made on Sabarmati River in Gandhinagar. Road for Dam site is passing from Indroda village, Gandhinagar. Dam is not open for general public & Dam site is also prohibited area. Dam view is beautiful in...",bas
3964,3965,Gandikota,Gandikota Fort,suggests grand canyon india started bangalore reached gandikota pm noon hot searched place rest eat luckily aptdc haritha resort came rescue menu limited,5,Anonymous,,"As the name suggests, grand canyon of India. We started from Bangalore around 8am, reached Gandikota around 2pm noon. It was too hot, searched for a place to rest and eat something. Luckily APTDC's Haritha resort came to our rescue. The menu was very limited...",gol
3965,3966,Gandikota,Gandikota Camping,gandikota amazing super sty kayaking tracking food eye thing super tent mat sleeping available dinner launch break fat proved contract,5,Anonymous,,gandikota amazing please super sty and kayaking tracking and food eye thing super  tent mat sleeping available and dinner launch break fat proved contract 9494574901,gol
3966,3967,Gandikota,Gandikota Tents,amazing view hidden gem worth visiting mornings evenings good view gorge erramala range hills known gandikota hills river pennar flows silently,5,Anonymous,,"Amazing view and hidden gem. Worth visiting. Mornings and evenings are very good to view the gorge between the Erramala range of hills, also known as Gandikota hills and the river Pennar that flows silently.",gol
3967,3968,Gandhinagar,The Vithalbhai Patel Bhawan,place legislative assembly state seats security clearance required viewing building good architecture building,4,Anonymous,,This is the place where Legislative Assembly of the state seats. Security clearance is required before viewing the building. Good architecture building.,bas
3968,3969,Ganeshgudi,Supa Dam,nice place beautiful spot u family friends couple various water activites like rafting kayaking,5,Anonymous,,"very nice place,there are many beautiful spot u can go for.family friends, couple all can go for it.there are various water activites also like rafting,kayaking,and many more",gol
3969,3970,Gangolihat,Paatal Bhuvneshvar,getting little scary chains hold nice cave complete lighting,3,Anonymous,,"The getting down part is little scary with chains to hold on, otherwise its a nice cave with complete lighting.",dex
3970,3971,Gangolihat,Patal Bhuvaneshwar Cave Temple,visited place chaukori road chaukori patal bhuvaneswar scenic good surprisingly clean sulabh r estroom old temple good approach cave good road excellent,5,Anonymous,,We visited this place from Chaukori.. The road all through from Chaukori to Patal Bhuvaneswar was very scenic and good.. Surprisingly there was a clean Sulabh R~estroom.. The old temple was good and the approach to the cave had very good road along with excellent...,gol
3971,3972,Gangotri,Gangotri Temple,gangotri fascinating place temple maa ganga entire indian civilization revolving holy river way place nucleus hindu pilgrimage visited gangotri harsil scenic kilometer drive,4,Anonymous,,"Gangotri is a fascinating place. Its the temple of Maa Ganga. The entire Indian civilization has been revolving around this holy river, in a way this place is the nucleus of the Hindu Pilgrimage.

We visited Gangotri from Harsil. Its a scenic 20 kilometer drive....",bas
3972,3973,Sagar Island,Mousuni Island Boat Services,visiting place childhood gave new experience place attractions experience lifetime covered variety flora fauna opportunity visit uninhabited islands,4,Anonymous,,I have been visiting this place since childhood and it always gave me a new experience. The place has many attractions and will give you an experience of  a lifetime.  Covered with a variety  flora and fauna.  You have the opportunity to visit Uninhabited Islands....,bas
3973,3974,Gangotri,Gauri Kund and Surya Kund,shall numerous waterfalls descending various glaciers amalgamating mighty river ganga,3,Anonymous,,You shall find numerous waterfalls descending down from the various glaciers and amalgamating into the mighty river Ganga.,dex
3974,3975,Gangotri,Pandav Gufa,trek place quite enjoyable walk himalayan terrain ups downs crossing deodar trees watching distant snow capped peaks himalayas gufa cave like ordinary cave met baba,4,Anonymous,,"The trek to this place is quite enjoyable. You walk through a Himalayan terrain, ups and downs, crossing several Deodar trees and watching the distant snow capped peaks of the Himalayas.  The Gufa or cave is just like any ordinary cave. We met a Baba...",bas
3975,3976,Gangotri,Vishwanath Temple,visit place tall shivling ganga aarti ganga dusk awesome feeling,4,Anonymous,,Visit this place for the tall Shivling and take part in the Ganga Aarti. Being beside the Ganga at dusk will fill you with an awesome feeling.,bas
3976,3977,Gangotri,Gomukh,attain destination risky destined need prepate externally internally gomugh trekking tour spiritual journey innerself physically moving upword meter km gangothry,3,Anonymous,,Attain your destination is sometimes risky and destined. You need to prepate yourself both externally and internally. Gomugh trekking is not a tour. Its a spiritual journey to your innerself even though physically you are moving upword to 4200 meter. 14 km from Gangothry to...,dex
3977,3978,Gangtok,Baba Harbhajan Singh Memorial Temple,temple situated high altitude surrounded mountain snow feel oxygen feel little uncomfortable breathing surrounding awesome journey mountain amazing narrow,5,Anonymous,,"The temple is situated at a very high altitude and is surrounded by mountain with snow. You might feel that the oxygen is very less and feel little uncomfortable breathing. But the surrounding is awesome. The journey to the mountain is just amazing, very narrow...",gol
3978,3979,Gangotri,Kedar Taal,placed kedar ganga valley gangotri height meters trek difficult average person,2,Anonymous,,"Placed in kedar ganga valley, above the Gangotri. Height of almost 4300 Meters. Trek is difficult for average person.",fuk
3979,3980,Gangtok,Bakthang Waterfalls,place itinerary visiting sikkim small waterfall bend road spectacular clicking pictures zip line try rs pretty primitive safety net,4,Anonymous,,A place not on the itinerary of many visiting Sikkim. A small waterfall at the bend of a road. Nothing spectacular except for clicking pictures. There is a zip-line which one can try for Rs.200. Pretty primitive but they do have a safety net below....,bas
3980,3981,Gangtok,Banjhakri Water Falls,awesome place gangtok adventure activities thrown falls humbling feeling nature awesome best,5,Anonymous,,"Awesome place to go at Gangtok. With some adventure activities thrown in, these falls give a very humbling feeling - Nature at its awesome best.",gol
3981,3982,Gangtok,Cholamu Lake,fantastic lake better summer carry set winter clothes need special permission visit,5,Anonymous,,"Fantastic lake. Better to go during summer or carry a set of winter clothes. Also, one would need special permission to visit there",gol
3982,3983,Gangtok,Deorali Orchid Sanctuary,life seen variety orchids collectively sanctuary visit flora kingdom houses different orchids,3,Anonymous,,"In my life I hadn't seen this many variety of orchids collectively, this sanctuary is must visit if you are into flora kingdom. it houses more than 400 different orchids.",dex
3983,3984,Tadong,Deorali Butterfly Bridge,noticed bridge gangtok ropeway trip walking buddhist monastery located bridge moment saw unique bridge decided walk quite,3,Anonymous,,"We first noticed this bridge during our Gangtok ropeway trip as well as when we were walking to the Buddhist Monastery that is located next to the Bridge. The moment we saw this unique bridge, we decided to walk on the same and were quite...",dex
3984,3985,Gangtok,Do Drul Chorten Stupa,massive stupa layer maintained perfect place visit,4,Anonymous,,This is a massive stupa where you can go to the top layer. very well maintained and a perfect place to visit.,bas
3985,3986,Gangtok,Enchey Monastery,special monastery seen pemayangtse monastery realized mistake people dont visit religious places spectacular unique religious place visited manyata faith people,4,Anonymous,,"I found nothing special about this monastery after having seen Pemayangtse Monastery but then realized my mistake. People dont visit religious places just to see something spectacular or unique. A religious place is visited for its 'manyata' or faith that people have in it.  
When...",bas
3986,3987,Gangtok,Fambong Lho Wildlife Sanctuary,confidence arrange spend time golitar log house namrang bungalow body come disturb suddenly realise,3,Anonymous,,If you have confidence on your own that you will arrange everything for yourself then you should go and spend some time in golitar log house and namrang first bungalow. No body will come to disturb you. Suddenly you will realise that there is nobody...,dex
3987,3988,Gangtok,Flower Exhibition Centre,disappointing experience place crowded good provision local flowers plants plentiful sikkim,3,Anonymous,,Very disappointing experience as it's a place very crowded no good provision for local flowers or plants which are a plentiful in Sikkim,dex
3988,3989,Gangtok,Ganesh Tok View Point,situated altitude gangtok city idols ganesh jee pay homage,3,Anonymous,,It is situated at some altitude from Gangtok city. There are idols of Ganesh jee where you can pay homage.,dex
3989,3990,Gangtok,Gangtok Ropeway,good way gangtok macro view enjoyed journey management tickets reaching rope way returning rope way better,5,Anonymous,,"Good way to see whole of Gangtok macro view.
Enjoyed the journey but management of the tickets and reaching the rope way or returning from rope way can be made better",gol
3990,3991,Gangtok,Gonjang Monastery,monasteries gangtok view point unfortunately closed visited huge terrace scenic view point gangtok,3,Anonymous,,One of the monasteries in Gangtok with a view point. Unfortunately it was closed when we visited but had a huge terrace with scenic view point of Gangtok.,dex
3991,3992,Gangtok,Hanuman Tok,famous temple gangtok named lord hanuman maintained indian army,3,Anonymous,,it is very famous temple of Gangtok which is named after Lord Hanuman. it is maintained by the Indian army.,dex
3992,3993,Gangtok,Himalayan Zoological Park,himalayan zoological park zoological park sikkim park accomplishes perception modern zoo animals kept replicated natural conditions park established preserve wildlife disturbing creatures keeping,3,Anonymous,,"Himalayan Zoological Park is the first Zoological park of Sikkim. The Park accomplishes the perception of modern zoo, where the animals are kept in replicated natural conditions.

The Park has been established, to preserve the wildlife, without disturbing the creatures and keeping them in their...",dex
3993,3994,Gangtok,Jawaharlal Nehru Botanical Garden,enjoyed lot garden lot varieties flower plants green house awesome,5,Anonymous,,I have enjoyed a lot in this garden as it has lot of varieties of flower and other plants. And the green house is awesome.,gol
3994,3995,Gangtok,Kabi Lungchok,historical site place agreement signed lapcha bhutia community brotherhood nice place,4,Anonymous,,This is a historical site.in this place there was an agreement signed between Lapcha and Bhutia community for brotherhood. Nice place.,bas
3995,3996,Gangtok,Kanchendzonga National Park,kanchandzonga park beautifull nice trekker path way himalayan beauty awesome view flower mountaineer animal,5,Anonymous,,Kanchandzonga park is beautifull and nice trekker path way among Himalayan beauty.here you see many awesome view and flower and mountaineer animal,gol
3996,3997,Gangtok,Khangchendzonga Biosphere Reserve,nature splendid himalayas biosphere reserve picture tranquility solitude sojourn virgin forest said enhance overall life expectancy definitely make think,5,Anonymous,,Nature in itself is so splendid and none so other than the Himalayas. The biosphere reserve is a picture of tranquility and solitude. A sojourn in this virgin forest is said to enhance your overall life expectancy. It would definitely make you think about the...,gol
3997,3998,Gangtok,Kyongnosla Alpine Sanctuary,way nathula pass changu lake place nice surrounding view flower tree wild yak like pictures,4,Anonymous,,On the way to Nathula pass and changu lake you can see this place.nice surrounding view with flower and tree. Also can see some wild yak like my pictures.,bas
